county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Carroll,CARROLLTON/OSAGE,State Senate District 16,,REP,Robert (Bob) Bailey,4,0,4,0,0
Carroll,"GF WARDS 1,2/SE/SW HICKORY/LIB",State Senate District 16,,REP,Robert (Bob) Bailey,9,0,8,0,1
Carroll,CARROLLTON/OSAGE,State Senate District 16,,REP,Luke Heffley,3,0,3,0,0
Carroll,"GF WARDS 1,2/SE/SW HICKORY/LIB",State Senate District 16,,REP,Luke Heffley,5,0,5,0,0
Carroll,CARROLLTON/OSAGE,State Senate District 16,,REP,Breanne Davis,31,0,28,0,3
Carroll,"GF WARDS 1,2/SE/SW HICKORY/LIB",State Senate District 16,,REP,Breanne Davis,23,0,18,0,5
Carroll,CARROLLTON/OSAGE,State Representative District 83,,REP,J. Donald Ragland,26,0,24,0,2
Carroll,DRY FORK/OMEGA/PINEY,State Representative District 83,,REP,J. Donald Ragland,4,0,4,0,0
Carroll,CARROLLTON/OSAGE,State Representative District 83,,REP,Timmy Reid,10,0,10,0,0
Carroll,DRY FORK/OMEGA/PINEY,State Representative District 83,,REP,Timmy Reid,2,0,2,0,0
