county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Lonoke,Caroline Twp,State Senate District 29,,REP,Ricky Hill,44,0,13,0,31
Lonoke,Austin City,State Senate District 29,,REP,Ricky Hill,45,0,34,1,10
Lonoke,Butler Twp,State Senate District 29,,REP,Ricky Hill,74,3,49,0,22
Lonoke,Cabot Ward 1,State Senate District 29,,REP,Ricky Hill,61,0,20,1,40
Lonoke,Cabot Ward 2,State Senate District 29,,REP,Ricky Hill,141,0,82,0,59
Lonoke,Cabot Ward 3,State Senate District 29,,REP,Ricky Hill,137,0,42,0,95
Lonoke,Cabot Ward 4,State Senate District 29,,REP,Ricky Hill,91,2,40,0,49
Lonoke,York Twp,State Senate District 29,,REP,Ricky Hill,28,0,15,0,13
Lonoke,Eagle Twp,State Senate District 29,,REP,Ricky Hill,101,4,63,2,32
Lonoke,Goodrum Twp,State Senate District 29,,REP,Ricky Hill,70,2,51,0,17
Lonoke,Gray Twp,State Senate District 29,,REP,Ricky Hill,31,0,28,0,3
Lonoke,Magness Twp,State Senate District 29,,REP,Ricky Hill,63,0,49,1,13
Lonoke,Oak Grove Twp,State Senate District 29,,REP,Ricky Hill,107,2,53,0,52
Lonoke,Ward City Ward 1,State Senate District 29,,REP,Ricky Hill,19,0,17,0,2
Lonoke,Ward City Ward 2,State Senate District 29,,REP,Ricky Hill,14,0,12,0,2
Lonoke,Ward City Ward 3,State Senate District 29,,REP,Ricky Hill,14,0,10,0,4
Lonoke,Ward Twp,State Senate District 29,,REP,Ricky Hill,27,1,19,0,7
Lonoke,Caroline Twp,State Senate District 29,,REP,Jim Coy,30,0,15,0,15
Lonoke,Austin City,State Senate District 29,,REP,Jim Coy,33,0,24,0,9
Lonoke,Butler Twp,State Senate District 29,,REP,Jim Coy,20,0,20,0,0
Lonoke,Cabot Ward 1,State Senate District 29,,REP,Jim Coy,51,1,24,0,26
Lonoke,Cabot Ward 2,State Senate District 29,,REP,Jim Coy,115,0,61,0,54
Lonoke,Cabot Ward 3,State Senate District 29,,REP,Jim Coy,142,0,60,0,82
Lonoke,Cabot Ward 4,State Senate District 29,,REP,Jim Coy,78,0,36,0,42
Lonoke,York Twp,State Senate District 29,,REP,Jim Coy,23,0,9,0,14
Lonoke,Eagle Twp,State Senate District 29,,REP,Jim Coy,35,0,29,1,5
Lonoke,Goodrum Twp,State Senate District 29,,REP,Jim Coy,53,0,35,1,17
Lonoke,Gray Twp,State Senate District 29,,REP,Jim Coy,14,0,11,0,3
Lonoke,Magness Twp,State Senate District 29,,REP,Jim Coy,22,0,15,0,7
Lonoke,Oak Grove Twp,State Senate District 29,,REP,Jim Coy,115,0,71,0,44
Lonoke,Ward City Ward 1,State Senate District 29,,REP,Jim Coy,17,0,15,0,2
Lonoke,Ward City Ward 2,State Senate District 29,,REP,Jim Coy,11,0,10,0,1
Lonoke,Ward City Ward 3,State Senate District 29,,REP,Jim Coy,13,0,13,0,0
Lonoke,Ward Twp,State Senate District 29,,REP,Jim Coy,20,1,13,0,6
