county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Pike,Antoine,U.S. House,4,LIB,Tom Canada,2,2,0,0
Pike,Daisy,U.S. House,4,LIB,Tom Canada,3,1,0,2
Pike,Delight,U.S. House,4,LIB,Tom Canada,11,8,0,3
Pike,Glenwood North,U.S. House,4,LIB,Tom Canada,3,3,0,0
Pike,Glenwood South,U.S. House,4,LIB,Tom Canada,12,3,0,9
Pike,Kirby,U.S. House,4,LIB,Tom Canada,7,5,0,2
Pike,Langley/Lodi,U.S. House,4,LIB,Tom Canada,6,4,0,2
Pike,Murfreesboro East,U.S. House,4,LIB,Tom Canada,11,4,0,7
Pike,Murfreesboro West,U.S. House,4,LIB,Tom Canada,12,2,2,8
Pike,Newhope,U.S. House,4,LIB,Tom Canada,0,0,0,0
Pike,Pisgah,U.S. House,4,LIB,Tom Canada,3,1,0,2
Pike,Antoine,U.S. House,4,REP,Representative Bruce Westerman,39,31,0,8
Pike,Daisy,U.S. House,4,REP,Representative Bruce Westerman,183,85,12,86
Pike,Delight,U.S. House,4,REP,Representative Bruce Westerman,282,150,5,127
Pike,Glenwood North,U.S. House,4,REP,Representative Bruce Westerman,251,96,10,145
Pike,Glenwood South,U.S. House,4,REP,Representative Bruce Westerman,359,132,10,217
Pike,Kirby,U.S. House,4,REP,Representative Bruce Westerman,326,207,7,112
Pike,Langley/Lodi,U.S. House,4,REP,Representative Bruce Westerman,158,80,13,65
Pike,Murfreesboro East,U.S. House,4,REP,Representative Bruce Westerman,354,96,11,247
Pike,Murfreesboro West,U.S. House,4,REP,Representative Bruce Westerman,440,119,18,303
Pike,Newhope,U.S. House,4,REP,Representative Bruce Westerman,145,84,12,49
Pike,Pisgah,U.S. House,4,REP,Representative Bruce Westerman,127,75,0,52
Pike,Antoine,U.S. House,4,DEM,Hayden Catherine Shamel,65,46,4,15
Pike,Daisy,U.S. House,4,DEM,Hayden Catherine Shamel,25,9,2,14
Pike,Delight,U.S. House,4,DEM,Hayden Catherine Shamel,56,26,0,30
Pike,Glenwood North,U.S. House,4,DEM,Hayden Catherine Shamel,52,22,3,27
Pike,Glenwood South,U.S. House,4,DEM,Hayden Catherine Shamel,72,37,0,35
Pike,Kirby,U.S. House,4,DEM,Hayden Catherine Shamel,57,33,4,20
Pike,Langley/Lodi,U.S. House,4,DEM,Hayden Catherine Shamel,9,6,1,2
Pike,Murfreesboro East,U.S. House,4,DEM,Hayden Catherine Shamel,104,23,2,79
Pike,Murfreesboro West,U.S. House,4,DEM,Hayden Catherine Shamel,124,35,7,82
Pike,Newhope,U.S. House,4,DEM,Hayden Catherine Shamel,7,3,0,4
Pike,Pisgah,U.S. House,4,DEM,Hayden Catherine Shamel,28,13,0,15
Pike,Antoine,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Daisy,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Delight,U.S. House,4,NON,Write-In,1,0,0,1
Pike,Glenwood North,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Glenwood South,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Kirby,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Langley/Lodi,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Murfreesboro East,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Murfreesboro West,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Newhope,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Pisgah,U.S. House,4,NON,Write-In,0,0,0,0
Pike,Antoine,Governor,,DEM,Jared K. Henderson,56,41,2,13
Pike,Daisy,Governor,,DEM,Jared K. Henderson,18,7,1,10
Pike,Delight,Governor,,DEM,Jared K. Henderson,56,27,0,29
Pike,Glenwood North,Governor,,DEM,Jared K. Henderson,48,19,4,25
Pike,Glenwood South,Governor,,DEM,Jared K. Henderson,78,35,0,43
Pike,Kirby,Governor,,DEM,Jared K. Henderson,53,28,3,22
Pike,Langley/Lodi,Governor,,DEM,Jared K. Henderson,16,11,1,4
Pike,Murfreesboro East,Governor,,DEM,Jared K. Henderson,93,18,3,72
Pike,Murfreesboro West,Governor,,DEM,Jared K. Henderson,111,30,8,73
Pike,Newhope,Governor,,DEM,Jared K. Henderson,10,3,1,6
Pike,Pisgah,Governor,,DEM,Jared K. Henderson,24,11,0,13
Pike,Antoine,Governor,,REP,Asa Hutchinson,49,35,3,11
Pike,Daisy,Governor,,REP,Asa Hutchinson,186,86,13,87
Pike,Delight,Governor,,REP,Asa Hutchinson,284,150,5,129
Pike,Glenwood North,Governor,,REP,Asa Hutchinson,256,101,8,147
Pike,Glenwood South,Governor,,REP,Asa Hutchinson,349,130,10,209
Pike,Kirby,Governor,,REP,Asa Hutchinson,335,218,8,109
Pike,Langley/Lodi,Governor,,REP,Asa Hutchinson,156,80,15,61
Pike,Murfreesboro East,Governor,,REP,Asa Hutchinson,369,102,10,257
Pike,Murfreesboro West,Governor,,REP,Asa Hutchinson,452,120,18,314
Pike,Newhope,Governor,,REP,Asa Hutchinson,139,81,11,47
Pike,Pisgah,Governor,,REP,Asa Hutchinson,133,77,0,56
Pike,Antoine,Governor,,LIB,Mark West,2,2,0,0
Pike,Daisy,Governor,,LIB,Mark West,9,3,0,6
Pike,Delight,Governor,,LIB,Mark West,13,8,0,5
Pike,Glenwood North,Governor,,LIB,Mark West,6,3,1,2
Pike,Glenwood South,Governor,,LIB,Mark West,13,6,1,6
Pike,Kirby,Governor,,LIB,Mark West,8,5,0,3
Pike,Langley/Lodi,Governor,,LIB,Mark West,8,3,0,5
Pike,Murfreesboro East,Governor,,LIB,Mark West,8,4,0,4
Pike,Murfreesboro West,Governor,,LIB,Mark West,16,5,3,8
Pike,Newhope,Governor,,LIB,Mark West,2,2,0,0
Pike,Pisgah,Governor,,LIB,Mark West,2,1,0,1
Pike,Antoine,Lieutenant Governor,,DEM,Anthony Bland,63,44,4,15
Pike,Daisy,Lieutenant Governor,,DEM,Anthony Bland,18,4,2,12
Pike,Delight,Lieutenant Governor,,DEM,Anthony Bland,55,24,0,31
Pike,Glenwood North,Lieutenant Governor,,DEM,Anthony Bland,50,20,4,26
Pike,Glenwood South,Lieutenant Governor,,DEM,Anthony Bland,81,38,0,43
Pike,Kirby,Lieutenant Governor,,DEM,Anthony Bland,50,28,3,19
Pike,Langley/Lodi,Lieutenant Governor,,DEM,Anthony Bland,9,6,1,2
Pike,Murfreesboro East,Lieutenant Governor,,DEM,Anthony Bland,101,19,3,79
Pike,Murfreesboro West,Lieutenant Governor,,DEM,Anthony Bland,108,25,6,77
Pike,Newhope,Lieutenant Governor,,DEM,Anthony Bland,10,3,2,5
Pike,Pisgah,Lieutenant Governor,,DEM,Anthony Bland,24,11,0,13
Pike,Antoine,Lieutenant Governor,,LIB,Frank Gilbert,3,3,0,0
Pike,Daisy,Lieutenant Governor,,LIB,Frank Gilbert,5,1,0,4
Pike,Delight,Lieutenant Governor,,LIB,Frank Gilbert,9,7,0,2
Pike,Glenwood North,Lieutenant Governor,,LIB,Frank Gilbert,5,4,0,1
Pike,Glenwood South,Lieutenant Governor,,LIB,Frank Gilbert,6,3,0,3
Pike,Kirby,Lieutenant Governor,,LIB,Frank Gilbert,4,2,0,2
Pike,Langley/Lodi,Lieutenant Governor,,LIB,Frank Gilbert,11,7,0,4
Pike,Murfreesboro East,Lieutenant Governor,,LIB,Frank Gilbert,7,3,0,4
Pike,Murfreesboro West,Lieutenant Governor,,LIB,Frank Gilbert,11,3,2,6
Pike,Newhope,Lieutenant Governor,,LIB,Frank Gilbert,1,1,0,0
Pike,Pisgah,Lieutenant Governor,,LIB,Frank Gilbert,3,2,0,1
Pike,Antoine,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,40,30,1,9
Pike,Daisy,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,187,89,11,87
Pike,Delight,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,285,151,5,129
Pike,Glenwood North,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,253,98,8,147
Pike,Glenwood South,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,356,129,11,216
Pike,Kirby,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,339,216,8,115
Pike,Langley/Lodi,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,159,80,15,64
Pike,Murfreesboro East,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,363,102,10,251
Pike,Murfreesboro West,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,457,127,20,310
Pike,Newhope,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,141,83,10,48
Pike,Pisgah,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,131,76,0,55
Pike,Antoine,Attorney General,,DEM,Mike Lee,65,45,4,16
Pike,Daisy,Attorney General,,DEM,Mike Lee,23,9,3,11
Pike,Delight,Attorney General,,DEM,Mike Lee,54,27,0,27
Pike,Glenwood North,Attorney General,,DEM,Mike Lee,59,23,4,32
Pike,Glenwood South,Attorney General,,DEM,Mike Lee,88,37,0,51
Pike,Kirby,Attorney General,,DEM,Mike Lee,64,38,5,21
Pike,Langley/Lodi,Attorney General,,DEM,Mike Lee,13,9,1,3
Pike,Murfreesboro East,Attorney General,,DEM,Mike Lee,114,23,2,89
Pike,Murfreesboro West,Attorney General,,DEM,Mike Lee,124,32,6,86
Pike,Newhope,Attorney General,,DEM,Mike Lee,10,3,2,5
Pike,Pisgah,Attorney General,,DEM,Mike Lee,26,13,0,13
Pike,Antoine,Attorney General,,LIB,Kerry Hicks,1,1,0,0
Pike,Daisy,Attorney General,,LIB,Kerry Hicks,8,3,0,5
Pike,Delight,Attorney General,,LIB,Kerry Hicks,13,10,0,3
Pike,Glenwood North,Attorney General,,LIB,Kerry Hicks,5,5,0,0
Pike,Glenwood South,Attorney General,,LIB,Kerry Hicks,7,5,0,2
Pike,Kirby,Attorney General,,LIB,Kerry Hicks,6,4,0,2
Pike,Langley/Lodi,Attorney General,,LIB,Kerry Hicks,8,2,0,6
Pike,Murfreesboro East,Attorney General,,LIB,Kerry Hicks,9,3,1,5
Pike,Murfreesboro West,Attorney General,,LIB,Kerry Hicks,17,5,4,8
Pike,Newhope,Attorney General,,LIB,Kerry Hicks,1,1,0,0
Pike,Pisgah,Attorney General,,LIB,Kerry Hicks,2,1,0,1
Pike,Antoine,Attorney General,,REP,Attorney General Leslie Rutledge,41,32,1,8
Pike,Daisy,Attorney General,,REP,Attorney General Leslie Rutledge,178,83,9,86
Pike,Delight,Attorney General,,REP,Attorney General Leslie Rutledge,285,148,5,132
Pike,Glenwood North,Attorney General,,REP,Attorney General Leslie Rutledge,245,94,9,142
Pike,Glenwood South,Attorney General,,REP,Attorney General Leslie Rutledge,345,127,11,207
Pike,Kirby,Attorney General,,REP,Attorney General Leslie Rutledge,326,207,6,113
Pike,Langley/Lodi,Attorney General,,REP,Attorney General Leslie Rutledge,158,82,15,61
Pike,Murfreesboro East,Attorney General,,REP,Attorney General Leslie Rutledge,348,98,10,240
Pike,Murfreesboro West,Attorney General,,REP,Attorney General Leslie Rutledge,435,118,19,298
Pike,Newhope,Attorney General,,REP,Attorney General Leslie Rutledge,141,82,10,49
Pike,Pisgah,Attorney General,,REP,Attorney General Leslie Rutledge,128,75,0,53
Pike,Antoine,Secretary of State,,REP,John Thurston Commissioner of State Lands,36,28,1,7
Pike,Daisy,Secretary of State,,REP,John Thurston Commissioner of State Lands,177,85,10,82
Pike,Delight,Secretary of State,,REP,John Thurston Commissioner of State Lands,269,142,5,122
