county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_vote,absentee,provisional
Pulaski,1,U.S. House,2,DEM,Representative Clarke Tucker,454,0,159,288,5,2
Pulaski,2,U.S. House,2,DEM,Representative Clarke Tucker,547,0,208,331,8,0
Pulaski,3,U.S. House,2,DEM,Representative Clarke Tucker,182,0,55,125,2,0
Pulaski,4,U.S. House,2,DEM,Representative Clarke Tucker,774,0,221,545,6,2
Pulaski,5,U.S. House,2,DEM,Representative Clarke Tucker,645,0,150,482,13,0
Pulaski,6,U.S. House,2,DEM,Representative Clarke Tucker,125,0,57,68,0,0
Pulaski,7,U.S. House,2,DEM,Representative Clarke Tucker,193,0,112,80,0,1
Pulaski,8,U.S. House,2,DEM,Representative Clarke Tucker,531,0,172,354,2,3
Pulaski,9,U.S. House,2,DEM,Representative Clarke Tucker,786,0,320,460,6,0
Pulaski,10,U.S. House,2,DEM,Representative Clarke Tucker,528,0,261,257,10,0
Pulaski,11,U.S. House,2,DEM,Representative Clarke Tucker,79,0,40,39,0,0
Pulaski,12,U.S. House,2,DEM,Representative Clarke Tucker,121,0,82,39,0,0
Pulaski,13,U.S. House,2,DEM,Representative Clarke Tucker,316,0,144,168,3,1
Pulaski,14,U.S. House,2,DEM,Representative Clarke Tucker,686,0,332,341,13,0
Pulaski,15,U.S. House,2,DEM,Representative Clarke Tucker,793,0,386,398,7,2
Pulaski,16,U.S. House,2,DEM,Representative Clarke Tucker,329,0,157,167,4,1
Pulaski,17,U.S. House,2,DEM,Representative Clarke Tucker,595,0,312,277,4,2
Pulaski,18,U.S. House,2,DEM,Representative Clarke Tucker,781,0,399,369,12,1
Pulaski,19,U.S. House,2,DEM,Representative Clarke Tucker,717,0,384,320,10,3
Pulaski,20,U.S. House,2,DEM,Representative Clarke Tucker,742,0,311,422,7,2
Pulaski,21,U.S. House,2,DEM,Representative Clarke Tucker,349,0,182,161,4,2
Pulaski,22,U.S. House,2,DEM,Representative Clarke Tucker,761,0,373,382,5,1
Pulaski,23,U.S. House,2,DEM,Representative Clarke Tucker,746,0,346,388,11,1
Pulaski,24,U.S. House,2,DEM,Representative Clarke Tucker,417,0,210,200,6,1
Pulaski,25,U.S. House,2,DEM,Representative Clarke Tucker,273,0,146,125,1,1
Pulaski,26,U.S. House,2,DEM,Representative Clarke Tucker,240,0,137,103,0,0
Pulaski,27,U.S. House,2,DEM,Representative Clarke Tucker,448,0,206,232,9,1
Pulaski,28,U.S. House,2,DEM,Representative Clarke Tucker,521,0,263,253,5,0
Pulaski,29,U.S. House,2,DEM,Representative Clarke Tucker,38,0,13,20,3,2
Pulaski,30,U.S. House,2,DEM,Representative Clarke Tucker,56,0,24,28,4,0
Pulaski,31,U.S. House,2,DEM,Representative Clarke Tucker,466,0,217,245,4,0
Pulaski,32,U.S. House,2,DEM,Representative Clarke Tucker,704,0,332,363,9,0
Pulaski,33,U.S. House,2,DEM,Representative Clarke Tucker,428,0,146,276,5,1
Pulaski,34,U.S. House,2,DEM,Representative Clarke Tucker,350,0,188,157,1,4
Pulaski,35,U.S. House,2,DEM,Representative Clarke Tucker,337,0,169,161,7,0
