county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_vote,absentee,early_vote_paper
Madison,Alabam,U.S. House,4,REP,Representative Bruce Westerman,287,41,169,34,4,39
Madison,Boston,U.S. House,4,REP,Representative Bruce Westerman,77,0,53,4,1,19
Madison,Bowen,U.S. House,4,REP,Representative Bruce Westerman,149,14,97,13,1,24
Madison,California,U.S. House,4,REP,Representative Bruce Westerman,335,3,248,39,3,42
Madison,Hilburn,U.S. House,4,REP,Representative Bruce Westerman,102,2,92,1,0,7
Madison,Japton,U.S. House,4,REP,Representative Bruce Westerman,120,10,84,9,2,15
Madison,Kings River,U.S. House,4,REP,Representative Bruce Westerman,323,1,219,40,10,53
Madison,Lamar,U.S. House,4,REP,Representative Bruce Westerman,314,12,245,35,2,20
Madison,Lincoln,U.S. House,4,REP,Representative Bruce Westerman,118,18,57,15,1,27
Madison,Marble,U.S. House,4,REP,Representative Bruce Westerman,133,26,69,17,1,20
Madison,Mill Creek,U.S. House,4,REP,Representative Bruce Westerman,129,29,81,11,0,8
Madison,Prairie,U.S. House,4,REP,Representative Bruce Westerman,517,1,375,68,4,69
Madison,Richland,U.S. House,4,REP,Representative Bruce Westerman,205,86,63,36,1,19
Madison,Valley,U.S. House,4,REP,Representative Bruce Westerman,170,1,149,6,4,10
Madison,War Eagle,U.S. House,4,REP,Representative Bruce Westerman,569,75,229,123,5,137
Madison,Ward 1,U.S. House,4,REP,Representative Bruce Westerman,75,7,26,8,4,30
Madison,Ward 2,U.S. House,4,REP,Representative Bruce Westerman,42,3,14,8,2,15
Madison,Ward 3,U.S. House,4,REP,Representative Bruce Westerman,114,21,24,26,1,42
Madison,Ward 4,U.S. House,4,REP,Representative Bruce Westerman,99,19,39,9,2,30
Madison,Wharton,U.S. House,4,REP,Representative Bruce Westerman,70,9,37,10,0,14
Madison,Alabam,U.S. House,4,LIB,Tom Canada,14,1,11,2,0,0
Madison,Boston,U.S. House,4,LIB,Tom Canada,6,0,6,0,0,0
Madison,Bowen,U.S. House,4,LIB,Tom Canada,4,1,1,1,0,1
Madison,California,U.S. House,4,LIB,Tom Canada,8,0,6,1,0,1
Madison,Hilburn,U.S. House,4,LIB,Tom Canada,3,0,3,0,0,0
Madison,Japton,U.S. House,4,LIB,Tom Canada,5,0,1,2,0,2
Madison,Kings River,U.S. House,4,LIB,Tom Canada,5,0,4,0,0,1
Madison,Lamar,U.S. House,4,LIB,Tom Canada,12,0,11,1,0,0
Madison,Lincoln,U.S. House,4,LIB,Tom Canada,4,0,1,1,0,2
Madison,Marble,U.S. House,4,LIB,Tom Canada,1,1,0,0,0,0
Madison,Mill Creek,U.S. House,4,LIB,Tom Canada,6,1,5,0,0,0
Madison,Prairie,U.S. House,4,LIB,Tom Canada,13,0,7,1,2,3
Madison,Richland,U.S. House,4,LIB,Tom Canada,6,3,2,0,0,1
Madison,Valley,U.S. House,4,LIB,Tom Canada,3,0,3,0,0,0
Madison,War Eagle,U.S. House,4,LIB,Tom Canada,25,5,9,5,0,6
Madison,Ward 1,U.S. House,4,LIB,Tom Canada,6,1,2,0,0,3
Madison,Ward 2,U.S. House,4,LIB,Tom Canada,1,0,1,0,0,0
Madison,Ward 3,U.S. House,4,LIB,Tom Canada,13,3,3,6,0,1
Madison,Ward 4,U.S. House,4,LIB,Tom Canada,0,0,0,0,0,0
Madison,Wharton,U.S. House,4,LIB,Tom Canada,1,0,0,1,0,0
Madison,Alabam,U.S. House,4,DEM,Hayden Catherine Shamel,125,13,62,22,4,24
Madison,Boston,U.S. House,4,DEM,Hayden Catherine Shamel,46,0,32,2,2,10
Madison,Bowen,U.S. House,4,DEM,Hayden Catherine Shamel,53,5,17,14,0,17
Madison,California,U.S. House,4,DEM,Hayden Catherine Shamel,91,1,56,17,4,13
Madison,Hilburn,U.S. House,4,DEM,Hayden Catherine Shamel,74,2,49,4,1,18
Madison,Japton,U.S. House,4,DEM,Hayden Catherine Shamel,11,1,6,2,0,2
Madison,Kings River,U.S. House,4,DEM,Hayden Catherine Shamel,120,0,74,16,2,28
Madison,Lamar,U.S. House,4,DEM,Hayden Catherine Shamel,133,3,80,18,4,28
Madison,Lincoln,U.S. House,4,DEM,Hayden Catherine Shamel,38,7,18,5,0,8
Madison,Marble,U.S. House,4,DEM,Hayden Catherine Shamel,31,4,21,2,0,4
Madison,Mill Creek,U.S. House,4,DEM,Hayden Catherine Shamel,48,4,34,1,0,9
Madison,Prairie,U.S. House,4,DEM,Hayden Catherine Shamel,159,0,100,14,5,40
Madison,Richland,U.S. House,4,DEM,Hayden Catherine Shamel,52,21,7,5,0,19
Madison,Valley,U.S. House,4,DEM,Hayden Catherine Shamel,77,1,72,2,2,0
Madison,War Eagle,U.S. House,4,DEM,Hayden Catherine Shamel,168,19,43,29,5,72
Madison,Ward 1,U.S. House,4,DEM,Hayden Catherine Shamel,50,1,24,10,1,14
Madison,Ward 2,U.S. House,4,DEM,Hayden Catherine Shamel,22,1,3,8,1,9
Madison,Ward 3,U.S. House,4,DEM,Hayden Catherine Shamel,35,4,5,12,0,14
Madison,Ward 4,U.S. House,4,DEM,Hayden Catherine Shamel,61,7,13,15,2,24
Madison,Wharton,U.S. House,4,DEM,Hayden Catherine Shamel,32,3,15,9,0,5
Madison,Alabam,U.S. House,4,NON,Write-In,1,0,0,0,0,1
Madison,Boston,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Bowen,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,California,U.S. House,4,NON,Write-In,1,0,1,0,0,0
Madison,Hilburn,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Japton,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Kings River,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Lamar,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Lincoln,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Marble,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Mill Creek,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Prairie,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Richland,U.S. House,4,NON,Write-In,0,0,0,0,0,0
Madison,Valley,U.S. House,4,NON,Write-In,0,0,0,0,0,0
