county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee
Woodruff,Augusta Armory -01,U.S. Congress District 1,,DEM,Chintan Desai,134,74,2,58
Woodruff,Augusta Armory-02,U.S. Congress District 1,,DEM,Chintan Desai,155,79,4,72
Woodruff,Augusta Hsng Authority-03,U.S. Congress District 1,,DEM,Chintan Desai,127,49,5,73
Woodruff,Augusta Armory-04,U.S. Congress District 1,,DEM,Chintan Desai,13,4,0,9
Woodruff,Augusta Armory-05,U.S. Congress District 1,,DEM,Chintan Desai,11,6,0,5
Woodruff,Gregory-06,U.S. Congress District 1,,DEM,Chintan Desai,14,0,0,14
Woodruff,Babbs Cottn PL/Freeman-07,U.S. Congress District 1,,DEM,Chintan Desai,10,2,0,8
Woodruff,Babbs/Cotton Plant-08,U.S. Congress District 1,,DEM,Chintan Desai,90,10,0,80
Woodruff,Babbs/Cotton Plant-09,U.S. Congress District 1,,DEM,Chintan Desai,65,19,0,46
Woodruff,Hunter Methodist/Rural-10,U.S. Congress District 1,,DEM,Chintan Desai,3,0,0,3
Woodruff,Hunter Methodist-11,U.S. Congress District 1,,DEM,Chintan Desai,1,0,0,1
Woodruff,Fairgrounds/Howell-12,U.S. Congress District 1,,DEM,Chintan Desai,7,6,0,1
Woodruff,White Hall Church-13,U.S. Congress District 1,,DEM,Chintan Desai,4,1,0,3
Woodruff,Morton Baptist-14,U.S. Congress District 1,,DEM,Chintan Desai,12,0,1,11
Woodruff,Frgrnds/McCrory Rural-15,U.S. Congress District 1,,DEM,Chintan Desai,16,6,0,10
Woodruff,Patterson Fire Station-16,U.S. Congress District 1,,DEM,Chintan Desai,25,9,1,15
Woodruff,McCrory Civic Center-17,U.S. Congress District 1,,DEM,Chintan Desai,81,22,3,56
Woodruff,McCrory Civic-18,U.S. Congress District 1,,DEM,Chintan Desai,40,8,0,32
Woodruff,Pumpkin Bend Church-19,U.S. Congress District 1,,DEM,Chintan Desai,20,2,0,18
Woodruff,Fairgrounds Fakes Chpl-20,U.S. Congress District 1,,DEM,Chintan Desai,1,1,0,0
Woodruff,Augusta Armory -01,U.S. Congress District 1,,REP,Congressman Rick Crawford,131,67,0,64
Woodruff,Augusta Armory-02,U.S. Congress District 1,,REP,Congressman Rick Crawford,129,75,4,50
Woodruff,Augusta Hsng Authority-03,U.S. Congress District 1,,REP,Congressman Rick Crawford,44,18,0,26
Woodruff,Augusta Armory-04,U.S. Congress District 1,,REP,Congressman Rick Crawford,60,33,0,27
Woodruff,Augusta Armory-05,U.S. Congress District 1,,REP,Congressman Rick Crawford,33,13,0,20
Woodruff,Gregory-06,U.S. Congress District 1,,REP,Congressman Rick Crawford,13,0,0,13
Woodruff,Babbs Cottn PL/Freeman-07,U.S. Congress District 1,,REP,Congressman Rick Crawford,21,4,0,17
Woodruff,Babbs/Cotton Plant-08,U.S. Congress District 1,,REP,Congressman Rick Crawford,27,3,0,24
Woodruff,Babbs/Cotton Plant-09,U.S. Congress District 1,,REP,Congressman Rick Crawford,14,0,0,14
Woodruff,Hunter Methodist/Rural-10,U.S. Congress District 1,,REP,Congressman Rick Crawford,21,2,0,19
Woodruff,Hunter Methodist-11,U.S. Congress District 1,,REP,Congressman Rick Crawford,24,4,0,20
Woodruff,Fairgrounds/Howell-12,U.S. Congress District 1,,REP,Congressman Rick Crawford,28,7,0,21
Woodruff,White Hall Church-13,U.S. Congress District 1,,REP,Congressman Rick Crawford,38,11,0,27
Woodruff,Morton Baptist-14,U.S. Congress District 1,,REP,Congressman Rick Crawford,67,12,0,55
Woodruff,Frgrnds/McCrory Rural-15,U.S. Congress District 1,,REP,Congressman Rick Crawford,77,16,0,61
Woodruff,Patterson Fire Station-16,U.S. Congress District 1,,REP,Congressman Rick Crawford,71,21,0,50
Woodruff,McCrory Civic Center-17,U.S. Congress District 1,,REP,Congressman Rick Crawford,214,59,6,149
Woodruff,McCrory Civic-18,U.S. Congress District 1,,REP,Congressman Rick Crawford,90,21,2,67
Woodruff,Pumpkin Bend Church-19,U.S. Congress District 1,,REP,Congressman Rick Crawford,90,17,1,72
Woodruff,Fairgrounds Fakes Chpl-20,U.S. Congress District 1,,REP,Congressman Rick Crawford,16,6,0,10
Woodruff,Augusta Armory -01,U.S. Congress District 1,,LIB,Elvis Presley,6,2,0,4
Woodruff,Augusta Armory-02,U.S. Congress District 1,,LIB,Elvis Presley,9,3,0,6
Woodruff,Augusta Hsng Authority-03,U.S. Congress District 1,,LIB,Elvis Presley,2,0,0,2
Woodruff,Augusta Armory-04,U.S. Congress District 1,,LIB,Elvis Presley,0,0,0,0
Woodruff,Augusta Armory-05,U.S. Congress District 1,,LIB,Elvis Presley,0,0,0,0
Woodruff,Gregory-06,U.S. Congress District 1,,LIB,Elvis Presley,0,0,0,0
Woodruff,Babbs Cottn PL/Freeman-07,U.S. Congress District 1,,LIB,Elvis Presley,0,0,0,0
Woodruff,Babbs/Cotton Plant-08,U.S. Congress District 1,,LIB,Elvis Presley,1,0,0,1
