county,precinct,office,district,party,candidate,votes,absentee,provisional,early_vote,election_day
Craighead,Precinct 1,U.S. Congress District 1,,DEM,Chintan Desai,235,6,1,162,66
Craighead,Precinct 2,U.S. Congress District 1,,DEM,Chintan Desai,184,2,0,114,68
Craighead,Precinct 3,U.S. Congress District 1,,DEM,Chintan Desai,213,4,0,140,69
Craighead,Precinct 4,U.S. Congress District 1,,DEM,Chintan Desai,202,4,0,142,56
Craighead,Precinct 5,U.S. Congress District 1,,DEM,Chintan Desai,159,5,0,111,43
Craighead,Precinct 6,U.S. Congress District 1,,DEM,Chintan Desai,146,8,0,90,48
Craighead,Precinct 7,U.S. Congress District 1,,DEM,Chintan Desai,186,1,0,110,75
Craighead,Precinct 8,U.S. Congress District 1,,DEM,Chintan Desai,142,3,1,63,75
Craighead,Precinct 9,U.S. Congress District 1,,DEM,Chintan Desai,138,4,0,91,43
Craighead,Precinct 10,U.S. Congress District 1,,DEM,Chintan Desai,160,0,0,99,61
Craighead,Precinct 11,U.S. Congress District 1,,DEM,Chintan Desai,146,2,0,97,47
Craighead,Precinct 12,U.S. Congress District 1,,DEM,Chintan Desai,148,3,0,102,43
Craighead,Precinct 13,U.S. Congress District 1,,DEM,Chintan Desai,222,3,0,112,107
Craighead,Precinct 14,U.S. Congress District 1,,DEM,Chintan Desai,192,2,0,98,92
Craighead,Precinct 15,U.S. Congress District 1,,DEM,Chintan Desai,218,11,0,124,83
Craighead,Precinct 16,U.S. Congress District 1,,DEM,Chintan Desai,173,3,0,124,46
Craighead,Precinct 17,U.S. Congress District 1,,DEM,Chintan Desai,187,1,0,146,40
Craighead,Precinct 18,U.S. Congress District 1,,DEM,Chintan Desai,221,10,0,138,73
Craighead,Precinct 19,U.S. Congress District 1,,DEM,Chintan Desai,125,2,1,46,76
Craighead,Precinct 20,U.S. Congress District 1,,DEM,Chintan Desai,192,4,0,144,44
Craighead,Precinct 21,U.S. Congress District 1,,DEM,Chintan Desai,191,5,0,101,85
Craighead,Precinct 22,U.S. Congress District 1,,DEM,Chintan Desai,175,5,0,93,77
Craighead,Precinct 23,U.S. Congress District 1,,DEM,Chintan Desai,169,8,0,111,50
Craighead,Precinct 24,U.S. Congress District 1,,DEM,Chintan Desai,190,1,0,111,78
Craighead,Precinct 25,U.S. Congress District 1,,DEM,Chintan Desai,186,4,0,128,54
Craighead,Precinct 26,U.S. Congress District 1,,DEM,Chintan Desai,184,1,1,116,66
Craighead,Precinct 27,U.S. Congress District 1,,DEM,Chintan Desai,158,5,0,81,72
Craighead,Precinct 28,U.S. Congress District 1,,DEM,Chintan Desai,209,2,1,135,71
Craighead,Precinct 29,U.S. Congress District 1,,DEM,Chintan Desai,239,2,1,144,92
Craighead,Precinct 30,U.S. Congress District 1,,DEM,Chintan Desai,225,1,0,151,73
Craighead,Precinct 31,U.S. Congress District 1,,DEM,Chintan Desai,82,1,0,42,39
Craighead,Precinct 32,U.S. Congress District 1,,DEM,Chintan Desai,169,0,1,75,93
Craighead,Precinct 33,U.S. Congress District 1,,DEM,Chintan Desai,197,2,0,118,77
Craighead,Precinct 34,U.S. Congress District 1,,DEM,Chintan Desai,186,1,1,72,112
Craighead,Precinct 35,U.S. Congress District 1,,DEM,Chintan Desai,174,2,0,89,83
Craighead,Precinct 36,U.S. Congress District 1,,DEM,Chintan Desai,162,3,0,92,67
Craighead,Precinct 37,U.S. Congress District 1,,DEM,Chintan Desai,116,1,0,51,64
Craighead,Precinct 38,U.S. Congress District 1,,DEM,Chintan Desai,122,1,0,76,45
Craighead,Precinct 39,U.S. Congress District 1,,DEM,Chintan Desai,134,2,0,65,67
Craighead,Precinct 40,U.S. Congress District 1,,DEM,Chintan Desai,94,0,0,64,30
Craighead,Precinct 41,U.S. Congress District 1,,DEM,Chintan Desai,91,2,0,29,60
Craighead,Precinct 42,U.S. Congress District 1,,DEM,Chintan Desai,64,0,0,34,30
Craighead,Precinct 43,U.S. Congress District 1,,DEM,Chintan Desai,111,2,0,37,72
Craighead,Precinct 44,U.S. Congress District 1,,DEM,Chintan Desai,144,2,1,84,57
Craighead,Precinct 45,U.S. Congress District 1,,DEM,Chintan Desai,127,1,0,64,62
Craighead,Precinct 46,U.S. Congress District 1,,DEM,Chintan Desai,133,0,0,73,60
Craighead,Precinct 47,U.S. Congress District 1,,DEM,Chintan Desai,100,1,0,57,42
Craighead,Precinct 48,U.S. Congress District 1,,DEM,Chintan Desai,120,0,0,78,42
Craighead,Precinct 49,U.S. Congress District 1,,DEM,Chintan Desai,34,0,0,10,24
Craighead,Precinct 50,U.S. Congress District 1,,DEM,Chintan Desai,86,0,0,27,59
Craighead,Precinct 51,U.S. Congress District 1,,DEM,Chintan Desai,86,0,0,32,54
Craighead,Precinct 52,U.S. Congress District 1,,DEM,Chintan Desai,19,0,0,8,11
Craighead,Precinct 53,U.S. Congress District 1,,DEM,Chintan Desai,21,0,0,9,12
