county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,hand_count,provisional
Lonoke,01- Allport City,U.S. Congress District 1,,Dem,Chintan Desai,48,25,0,23,0,0
Lonoke,02 - Caroline Twp,U.S. Congress District 1,,Dem,Chintan Desai,93,24,0,69,0,0
Lonoke,03 - Austin City,U.S. Congress District 1,,Dem,Chintan Desai,142,36,3,102,0,1
Lonoke,04 - Butler Twp,U.S. Congress District 1,,Dem,Chintan Desai,93,23,1,69,0,0
Lonoke,05 - Cabot City W/1,U.S. Congress District 1,,Dem,Chintan Desai,282,70,5,207,0,0
Lonoke,06 - Cabot City W/2,U.S. Congress District 1,,Dem,Chintan Desai,438,92,8,338,0,0
Lonoke,07 - Cabot City W/3,U.S. Congress District 1,,Dem,Chintan Desai,306,56,3,247,0,0
Lonoke,08 - Cabot City W/4,U.S. Congress District 1,,Dem,Chintan Desai,256,77,3,176,0,0
Lonoke,09 - York Twp,U.S. Congress District 1,,Dem,Chintan Desai,87,19,1,67,0,0
Lonoke,10 - Carlisle City Ward 1,U.S. Congress District 1,,Dem,Chintan Desai,58,19,2,37,0,0
Lonoke,11 -Carlisle City Ward 2,U.S. Congress District 1,,Dem,Chintan Desai,65,15,0,50,0,0
Lonoke,12 - Carlisle City Ward 3,U.S. Congress District 1,,Dem,Chintan Desai,49,20,0,29,0,0
Lonoke,13 - Carlisle Twp.,U.S. Congress District 1,,Dem,Chintan Desai,9,5,0,4,0,0
Lonoke,14 - Cleveland Twp,U.S. Congress District 1,,Dem,Chintan Desai,14,5,0,9,0,0
Lonoke,15 - Dortch Twp,U.S. Congress District 1,,Dem,Chintan Desai,15,6,3,6,0,0
Lonoke,16 - Eagle Twp,U.S. Congress District 1,,Dem,Chintan Desai,74,25,2,47,0,0
Lonoke,17 - England City Ward 1,U.S. Congress District 1,,Dem,Chintan Desai,51,20,0,31,0,0
Lonoke,18 - England City Ward 2,U.S. Congress District 1,,Dem,Chintan Desai,40,14,0,26,0,0
Lonoke,19- England City Ward 3,U.S. Congress District 1,,Dem,Chintan Desai,135,67,0,68,0,0
Lonoke,20 - England City Ward 4,U.S. Congress District 1,,Dem,Chintan Desai,41,16,0,25,0,0
Lonoke,21 - Fletcher Twp,U.S. Congress District 1,,Dem,Chintan Desai,4,2,0,2,0,0
Lonoke,22 - Furlow Twp,U.S. Congress District 1,,Dem,Chintan Desai,87,24,1,62,0,0
Lonoke,23 - Goodrum Twp,U.S. Congress District 1,,Dem,Chintan Desai,119,46,0,73,0,0
Lonoke,24 - Gray Twp,U.S. Congress District 1,,Dem,Chintan Desai,246,107,0,139,0,0
Lonoke,25 - Gumwood Twp,U.S. Congress District 1,,Dem,Chintan Desai,11,7,0,4,0,0
Lonoke,26 - Hamilton Twp,U.S. Congress District 1,,Dem,Chintan Desai,1,1,0,0,0,0
Lonoke,27 - Crooked Creek Twp,U.S. Congress District 1,,Dem,Chintan Desai,6,2,1,3,0,0
Lonoke,28 - Humnoke City,U.S. Congress District 1,,Dem,Chintan Desai,7,5,0,2,0,0
Lonoke,29 - Indian Bayou Twp,U.S. Congress District 1,,Dem,Chintan Desai,8,4,0,4,0,0
Lonoke,30 - Coy City,U.S. Congress District 1,,Dem,Chintan Desai,3,3,0,0,0,0
Lonoke,31 - Isbell Twp,U.S. Congress District 1,,Dem,Chintan Desai,3,0,0,3,0,0
Lonoke,32 - Lafayette Twp,U.S. Congress District 1,,Dem,Chintan Desai,3,3,0,0,0,0
Lonoke,33 - Keo City,U.S. Congress District 1,,Dem,Chintan Desai,28,21,1,6,0,0
Lonoke,34 - Lonoke City W/1,U.S. Congress District 1,,Dem,Chintan Desai,66,18,1,47,0,0
Lonoke,35 - Lonoke City W/2,U.S. Congress District 1,,Dem,Chintan Desai,32,1,0,31,0,0
Lonoke,36 - Lonoke City W/3,U.S. Congress District 1,,Dem,Chintan Desai,62,27,0,35,0,0
Lonoke,37 - Lonoke City W/4,U.S. Congress District 1,,Dem,Chintan Desai,51,13,1,37,0,0
Lonoke,38 - Lonoke Twp,U.S. Congress District 1,,Dem,Chintan Desai,63,18,0,45,0,0
Lonoke,39 - Magness Twp,U.S. Congress District 1,,Dem,Chintan Desai,118,37,4,77,0,0
Lonoke,40 - Oak Grove Twp,U.S. Congress District 1,,Dem,Chintan Desai,209,64,3,142,0,0
Lonoke,41 - Pettus Twp,U.S. Congress District 1,,Dem,Chintan Desai,9,2,0,7,0,0
Lonoke,42 - Prairie Twp.,U.S. Congress District 1,,Dem,Chintan Desai,18,13,0,5,0,0
Lonoke,43 - Pulaski Twp,U.S. Congress District 1,,Dem,Chintan Desai,115,94,1,20,0,0
Lonoke,44 - Richwood Twp,U.S. Congress District 1,,Dem,Chintan Desai,9,5,0,4,0,0
Lonoke,45 - Totten Twp.,U.S. Congress District 1,,Dem,Chintan Desai,14,6,0,8,0,0
Lonoke,46 - Walls Twp.,U.S. Congress District 1,,Dem,Chintan Desai,6,2,0,4,0,0
Lonoke,47 - Ward City W/1,U.S. Congress District 1,,Dem,Chintan Desai,58,14,0,44,0,0
Lonoke,48 - Ward City W/2,U.S. Congress District 1,,Dem,Chintan Desai,58,11,2,45,0,0
Lonoke,49 - Ward City W/3,U.S. Congress District 1,,Dem,Chintan Desai,92,25,0,67,0,0
Lonoke,50 - Ward Twp,U.S. Congress District 1,,Dem,Chintan Desai,53,9,0,44,0,0
Lonoke,51 - Williams Twp.,U.S. Congress District 1,,Dem,Chintan Desai,69,26,1,42,0,0
Lonoke,53 - Lonoke City W/5,U.S. Congress District 1,,Dem,Chintan Desai,100,27,3,70,0,0
Lonoke,54 - Lonoke City W/6,U.S. Congress District 1,,Dem,Chintan Desai,106,28,2,76,0,0
Lonoke,55 - Lonoke City W/7,U.S. Congress District 1,,Dem,Chintan Desai,66,13,2,51,0,0
Lonoke,56 - Lonoke City W/8,U.S. Congress District 1,,Dem,Chintan Desai,63,11,0,52,0,0
Lonoke,01- Allport City,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,02 - Caroline Twp,U.S. Congress District 1,,Lib,Elvis Presley,14,3,0,11,0,0
Lonoke,03 - Austin City,U.S. Congress District 1,,Lib,Elvis Presley,17,3,1,13,0,0
Lonoke,04 - Butler Twp,U.S. Congress District 1,,Lib,Elvis Presley,17,6,0,11,0,0
Lonoke,05 - Cabot City W/1,U.S. Congress District 1,,Lib,Elvis Presley,45,11,1,33,0,0
Lonoke,06 - Cabot City W/2,U.S. Congress District 1,,Lib,Elvis Presley,52,17,1,34,0,0
Lonoke,07 - Cabot City W/3,U.S. Congress District 1,,Lib,Elvis Presley,43,13,0,30,0,0
Lonoke,08 - Cabot City W/4,U.S. Congress District 1,,Lib,Elvis Presley,43,15,0,28,0,0
Lonoke,09 - York Twp,U.S. Congress District 1,,Lib,Elvis Presley,9,0,0,9,0,0
Lonoke,10 - Carlisle City Ward 1,U.S. Congress District 1,,Lib,Elvis Presley,8,3,0,5,0,0
Lonoke,11 -Carlisle City Ward 2,U.S. Congress District 1,,Lib,Elvis Presley,3,1,0,2,0,0
Lonoke,12 - Carlisle City Ward 3,U.S. Congress District 1,,Lib,Elvis Presley,3,0,0,3,0,0
Lonoke,13 - Carlisle Twp.,U.S. Congress District 1,,Lib,Elvis Presley,2,1,0,1,0,0
Lonoke,14 - Cleveland Twp,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,15 - Dortch Twp,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,16 - Eagle Twp,U.S. Congress District 1,,Lib,Elvis Presley,6,3,0,3,0,0
Lonoke,17 - England City Ward 1,U.S. Congress District 1,,Lib,Elvis Presley,11,5,0,6,0,0
Lonoke,18 - England City Ward 2,U.S. Congress District 1,,Lib,Elvis Presley,8,3,0,5,0,0
Lonoke,19- England City Ward 3,U.S. Congress District 1,,Lib,Elvis Presley,4,2,0,2,0,0
Lonoke,20 - England City Ward 4,U.S. Congress District 1,,Lib,Elvis Presley,3,1,0,2,0,0
Lonoke,21 - Fletcher Twp,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,22 - Furlow Twp,U.S. Congress District 1,,Lib,Elvis Presley,6,4,0,2,0,0
Lonoke,23 - Goodrum Twp,U.S. Congress District 1,,Lib,Elvis Presley,19,5,0,14,0,0
Lonoke,24 - Gray Twp,U.S. Congress District 1,,Lib,Elvis Presley,24,16,0,8,0,0
Lonoke,25 - Gumwood Twp,U.S. Congress District 1,,Lib,Elvis Presley,1,0,0,1,0,0
Lonoke,26 - Hamilton Twp,U.S. Congress District 1,,Lib,Elvis Presley,1,1,0,0,0,0
