county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee
Saline,Precinct 01,U.S. Congress District 2,,DEM,Representative Clarke Tucker,379,175,202,2
Saline,Precinct 02,U.S. Congress District 2,,DEM,Representative Clarke Tucker,494,116,369,9
Saline,Precinct 03,U.S. Congress District 2,,DEM,Representative Clarke Tucker,177,81,96,0
Saline,Precinct 04,U.S. Congress District 2,,DEM,Representative Clarke Tucker,377,132,237,8
Saline,Precinct 05,U.S. Congress District 2,,DEM,Representative Clarke Tucker,338,85,247,6
Saline,Precinct 06,U.S. Congress District 2,,DEM,Representative Clarke Tucker,438,163,272,3
Saline,Precinct 07,U.S. Congress District 2,,DEM,Representative Clarke Tucker,165,75,86,4
Saline,Precinct 08,U.S. Congress District 2,,DEM,Representative Clarke Tucker,46,23,22,1
Saline,Precinct 09,U.S. Congress District 2,,DEM,Representative Clarke Tucker,245,99,142,4
Saline,Precinct 10,U.S. Congress District 2,,DEM,Representative Clarke Tucker,170,88,81,1
Saline,Precinct 11,U.S. Congress District 2,,DEM,Representative Clarke Tucker,466,134,327,5
Saline,Precinct 12,U.S. Congress District 2,,DEM,Representative Clarke Tucker,208,45,160,3
Saline,Precinct 13,U.S. Congress District 2,,DEM,Representative Clarke Tucker,635,172,452,11
Saline,Precinct 14,U.S. Congress District 2,,DEM,Representative Clarke Tucker,445,195,246,4
Saline,Precinct 15,U.S. Congress District 2,,DEM,Representative Clarke Tucker,405,118,283,4
Saline,Precinct 16,U.S. Congress District 2,,DEM,Representative Clarke Tucker,299,134,157,8
Saline,Precinct 17,U.S. Congress District 2,,DEM,Representative Clarke Tucker,425,113,306,6
Saline,Precinct 18,U.S. Congress District 2,,DEM,Representative Clarke Tucker,141,75,65,1
Saline,Precinct 19,U.S. Congress District 2,,DEM,Representative Clarke Tucker,62,36,26,0
Saline,Precinct 20,U.S. Congress District 2,,DEM,Representative Clarke Tucker,318,50,257,11
Saline,Precinct 21,U.S. Congress District 2,,DEM,Representative Clarke Tucker,41,28,13,0
Saline,Precinct 22,U.S. Congress District 2,,DEM,Representative Clarke Tucker,337,210,124,3
Saline,Precinct 23,U.S. Congress District 2,,DEM,Representative Clarke Tucker,72,48,24,0
Saline,Precinct 24,U.S. Congress District 2,,DEM,Representative Clarke Tucker,304,124,173,7
Saline,Precinct 25,U.S. Congress District 2,,DEM,Representative Clarke Tucker,251,135,112,4
Saline,Precinct 26,U.S. Congress District 2,,DEM,Representative Clarke Tucker,638,308,326,4
