county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,provisional
Yell,Bluffton,U.S. Congress District 4,,REP,Representative Bruce Westerman,46,35,11,0,0
Yell,Briggsville,U.S. Congress District 4,,REP,Representative Bruce Westerman,29,21,8,0,0
Yell,Centerville,U.S. Congress District 4,,REP,Representative Bruce Westerman,145,124,19,0,2
Yell,Compton,U.S. Congress District 4,,REP,Representative Bruce Westerman,24,15,8,1,0
Yell,Crawford,U.S. Congress District 4,,REP,Representative Bruce Westerman,90,11,79,0,0
Yell,Danville,U.S. Congress District 4,,REP,Representative Bruce Westerman,279,113,158,5,3
Yell,Dardanelle Outside,U.S. Congress District 4,,REP,Representative Bruce Westerman,859,251,604,4,0
Yell,Dardanelle Ward 1,U.S. Congress District 4,,REP,Representative Bruce Westerman,291,99,187,4,1
Yell,Dardanelle Ward 2,U.S. Congress District 4,,REP,Representative Bruce Westerman,141,41,91,9,0
Yell,Dardanelle Ward 3,U.S. Congress District 4,,REP,Representative Bruce Westerman,82,17,54,9,2
Yell,Dutch Creek,U.S. Congress District 4,,REP,Representative Bruce Westerman,16,8,8,0,0
Yell,Ferguson,U.S. Congress District 4,,REP,Representative Bruce Westerman,283,168,111,4,0
Yell,Galla Rock,U.S. Congress District 4,,REP,Representative Bruce Westerman,57,28,29,0,0
Yell,Gilkey,U.S. Congress District 4,,REP,Representative Bruce Westerman,36,20,16,0,0
Yell,Gravelly,U.S. Congress District 4,,REP,Representative Bruce Westerman,42,32,10,0,0
Yell,Herring,U.S. Congress District 4,,REP,Representative Bruce Westerman,54,19,35,0,0
Yell,Lamar,U.S. Congress District 4,,REP,Representative Bruce Westerman,217,157,53,6,1
Yell,Magazine 1,U.S. Congress District 4,,REP,Representative Bruce Westerman,254,85,166,2,1
Yell,Magazine 2,U.S. Congress District 4,,REP,Representative Bruce Westerman,50,41,7,2,0
Yell,Mason,U.S. Congress District 4,,REP,Representative Bruce Westerman,83,68,15,0,0
Yell,Mountain,U.S. Congress District 4,,REP,Representative Bruce Westerman,49,15,34,0,0
Yell,Prairie,U.S. Congress District 4,,REP,Representative Bruce Westerman,212,75,135,2,0
Yell,Richland,U.S. Congress District 4,,REP,Representative Bruce Westerman,75,37,37,1,0
Yell,Waveland,U.S. Congress District 4,,REP,Representative Bruce Westerman,79,44,34,1,0
Yell,Riley,U.S. Congress District 4,,REP,Representative Bruce Westerman,176,143,32,1,0
Yell,Rover,U.S. Congress District 4,,REP,Representative Bruce Westerman,81,71,9,0,1
Yell,Ward,U.S. Congress District 4,,REP,Representative Bruce Westerman,225,156,64,5,0
Yell,Ions Creek,U.S. Congress District 4,,REP,Representative Bruce Westerman,13,6,7,0,0
Yell,Bluffton,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,6,5,1,0,0
Yell,Briggsville,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,12,10,2,0,0
Yell,Centerville,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,39,37,2,0,0
Yell,Compton,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,1,1,0,0,0
Yell,Crawford,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,23,5,18,0,0
Yell,Danville,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,132,60,66,5,1
Yell,Dardanelle Outside,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,227,64,159,4,0
Yell,Dardanelle Ward 1,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,139,42,94,3,0
Yell,Dardanelle Ward 2,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,76,27,49,0,0
Yell,Dardanelle Ward 3,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,78,24,45,8,1
Yell,Dutch Creek,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,5,2,3,0,0
Yell,Ferguson,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,58,29,29,0,0
Yell,Galla Rock,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,17,12,5,0,0
Yell,Gilkey,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,13,10,2,1,0
Yell,Gravelly,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,13,5,8,0,0
Yell,Herring,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,4,1,3,0,0
Yell,Lamar,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,64,47,13,2,2
Yell,Magazine 1,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,67,24,43,0,0
Yell,Magazine 2,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,12,9,3,0,0
Yell,Mason,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,11,5,6,0,0
Yell,Mountain,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,7,1,6,0,0
Yell,Prairie,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,27,10,17,0,0
Yell,Richland,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,9,3,6,0,0
Yell,Waveland,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,16,10,6,0,0
Yell,Riley,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,30,24,5,1,0
Yell,Rover,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,12,11,1,0,0
Yell,Ward,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,78,54,22,1,1
Yell,Ions Creek,U.S. Congress District 4,,DEM,Hayden Catherine Shamel,3,3,0,0,0
Yell,Bluffton,U.S. Congress District 4,,LIB,Tom Canada,5,4,1,0,0
Yell,Briggsville,U.S. Congress District 4,,LIB,Tom Canada,3,2,1,0,0
Yell,Centerville,U.S. Congress District 4,,LIB,Tom Canada,5,5,0,0,0
Yell,Compton,U.S. Congress District 4,,LIB,Tom Canada,2,2,0,0,0
Yell,Crawford,U.S. Congress District 4,,LIB,Tom Canada,2,0,2,0,0
Yell,Danville,U.S. Congress District 4,,LIB,Tom Canada,12,5,6,0,1
Yell,Dardanelle Outside,U.S. Congress District 4,,LIB,Tom Canada,24,10,14,0,0
Yell,Dardanelle Ward 1,U.S. Congress District 4,,LIB,Tom Canada,13,6,6,1,0
Yell,Dardanelle Ward 2,U.S. Congress District 4,,LIB,Tom Canada,8,4,4,0,0
Yell,Dardanelle Ward 3,U.S. Congress District 4,,LIB,Tom Canada,5,2,2,1,0
Yell,Dutch Creek,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Yell,Ferguson,U.S. Congress District 4,,LIB,Tom Canada,8,6,2,0,0
Yell,Galla Rock,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Yell,Gilkey,U.S. Congress District 4,,LIB,Tom Canada,2,1,1,0,0
Yell,Gravelly,U.S. Congress District 4,,LIB,Tom Canada,3,2,1,0,0
Yell,Herring,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Yell,Lamar,U.S. Congress District 4,,LIB,Tom Canada,7,3,4,0,0
Yell,Magazine 1,U.S. Congress District 4,,LIB,Tom Canada,7,3,4,0,0
Yell,Magazine 2,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Yell,Mason,U.S. Congress District 4,,LIB,Tom Canada,2,2,0,0,0
Yell,Mountain,U.S. Congress District 4,,LIB,Tom Canada,0,0,0,0,0
Yell,Prairie,U.S. Congress District 4,,LIB,Tom Canada,3,1,2,0,0
Yell,Richland,U.S. Congress District 4,,LIB,Tom Canada,2,2,0,0,0
Yell,Waveland,U.S. Congress District 4,,LIB,Tom Canada,2,1,1,0,0
Yell,Riley,U.S. Congress District 4,,LIB,Tom Canada,6,4,1,0,1
