county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Sebastian,1-A,Special General Election for State Senate District 8,,REP,Frank Glidewell,93,1,64,0,28
Sebastian,1-B,Special General Election for State Senate District 8,,REP,Frank Glidewell,35,1,26,1,7
Sebastian,1-C,Special General Election for State Senate District 8,,REP,Frank Glidewell,148,2,100,1,45
Sebastian,1-D,Special General Election for State Senate District 8,,REP,Frank Glidewell,194,1,130,2,61
Sebastian,1-E,Special General Election for State Senate District 8,,REP,Frank Glidewell,14,0,8,2,4
Sebastian,1-F,Special General Election for State Senate District 8,,REP,Frank Glidewell,56,1,42,0,13
Sebastian,1-H,Special General Election for State Senate District 8,,REP,Frank Glidewell,86,1,50,0,35
Sebastian,1-I,Special General Election for State Senate District 8,,REP,Frank Glidewell,137,0,92,1,44
Sebastian,1-J,Special General Election for State Senate District 8,,REP,Frank Glidewell,8,0,3,0,5
Sebastian,1-L,Special General Election for State Senate District 8,,REP,Frank Glidewell,55,0,41,0,14
Sebastian,1-M,Special General Election for State Senate District 8,,REP,Frank Glidewell,3,0,2,0,1
Sebastian,3-A,Special General Election for State Senate District 8,,REP,Frank Glidewell,51,0,42,0,9
Sebastian,3-B,Special General Election for State Senate District 8,,REP,Frank Glidewell,161,3,117,2,39
Sebastian,3-C,Special General Election for State Senate District 8,,REP,Frank Glidewell,44,1,33,0,10
Sebastian,3-D,Special General Election for State Senate District 8,,REP,Frank Glidewell,147,2,119,1,25
Sebastian,3-E,Special General Election for State Senate District 8,,REP,Frank Glidewell,217,1,171,1,44
Sebastian,3-F,Special General Election for State Senate District 8,,REP,Frank Glidewell,124,2,101,2,19
Sebastian,3-G,Special General Election for State Senate District 8,,REP,Frank Glidewell,258,2,200,0,56
Sebastian,3-H,Special General Election for State Senate District 8,,REP,Frank Glidewell,307,3,230,2,72
Sebastian,3-I,Special General Election for State Senate District 8,,REP,Frank Glidewell,30,1,24,0,5
Sebastian,3-J,Special General Election for State Senate District 8,,REP,Frank Glidewell,21,0,14,0,7
Sebastian,3-K,Special General Election for State Senate District 8,,REP,Frank Glidewell,9,0,8,0,1
Sebastian,3-L,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,3-M,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,3-N,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,3-O,Special General Election for State Senate District 8,,REP,Frank Glidewell,148,0,126,0,22
Sebastian,4-A,Special General Election for State Senate District 8,,REP,Frank Glidewell,134,2,93,0,39
Sebastian,4-B,Special General Election for State Senate District 8,,REP,Frank Glidewell,138,0,95,0,43
Sebastian,4-C,Special General Election for State Senate District 8,,REP,Frank Glidewell,500,8,354,1,137
Sebastian,4-D,Special General Election for State Senate District 8,,REP,Frank Glidewell,261,2,200,1,58
Sebastian,4-E,Special General Election for State Senate District 8,,REP,Frank Glidewell,125,0,105,0,20
Sebastian,4-F,Special General Election for State Senate District 8,,REP,Frank Glidewell,103,2,67,0,34
Sebastian,4-G,Special General Election for State Senate District 8,,REP,Frank Glidewell,422,7,328,1,86
Sebastian,4-H,Special General Election for State Senate District 8,,REP,Frank Glidewell,123,0,101,0,22
Sebastian,4-K,Special General Election for State Senate District 8,,REP,Frank Glidewell,266,4,209,7,46
Sebastian,4-N,Special General Election for State Senate District 8,,REP,Frank Glidewell,119,0,94,0,25
Sebastian,9-1O,Special General Election for State Senate District 8,,REP,Frank Glidewell,7,0,6,0,1
Sebastian,9-2A,Special General Election for State Senate District 8,,REP,Frank Glidewell,41,0,22,2,17
Sebastian,9-2B,Special General Election for State Senate District 8,,REP,Frank Glidewell,13,0,5,0,8
Sebastian,9-2C,Special General Election for State Senate District 8,,REP,Frank Glidewell,20,1,10,0,9
Sebastian,9-2D,Special General Election for State Senate District 8,,REP,Frank Glidewell,1,0,0,0,1
Sebastian,9-2F,Special General Election for State Senate District 8,,REP,Frank Glidewell,8,0,3,0,5
Sebastian,9-2H,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-2J,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-3A,Special General Election for State Senate District 8,,REP,Frank Glidewell,3,0,3,0,0
Sebastian,9-3B,Special General Election for State Senate District 8,,REP,Frank Glidewell,11,0,7,0,4
Sebastian,9-3M,Special General Election for State Senate District 8,,REP,Frank Glidewell,1,0,1,0,0
Sebastian,9-3N,Special General Election for State Senate District 8,,REP,Frank Glidewell,6,0,6,0,0
Sebastian,9-3O,Special General Election for State Senate District 8,,REP,Frank Glidewell,6,0,6,0,0
Sebastian,9-3P,Special General Election for State Senate District 8,,REP,Frank Glidewell,4,0,3,0,1
Sebastian,9-4A,Special General Election for State Senate District 8,,REP,Frank Glidewell,4,1,3,0,0
Sebastian,9-4B,Special General Election for State Senate District 8,,REP,Frank Glidewell,21,0,16,0,5
Sebastian,9-4C,Special General Election for State Senate District 8,,REP,Frank Glidewell,55,1,36,0,18
Sebastian,9-4D,Special General Election for State Senate District 8,,REP,Frank Glidewell,1,0,1,0,0
Sebastian,9-4E,Special General Election for State Senate District 8,,REP,Frank Glidewell,8,0,5,0,3
Sebastian,9-4F,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-4G,Special General Election for State Senate District 8,,REP,Frank Glidewell,8,0,7,0,1
Sebastian,9-4H,Special General Election for State Senate District 8,,REP,Frank Glidewell,10,0,10,0,0
Sebastian,9-4I,Special General Election for State Senate District 8,,REP,Frank Glidewell,4,0,4,0,0
Sebastian,9-4J,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-4K,Special General Election for State Senate District 8,,REP,Frank Glidewell,16,2,4,0,10
Sebastian,9-4L,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-5A,Special General Election for State Senate District 8,,REP,Frank Glidewell,1,0,1,0,0
Sebastian,9-5B,Special General Election for State Senate District 8,,REP,Frank Glidewell,1,0,1,0,0
Sebastian,9-6A,Special General Election for State Senate District 8,,REP,Frank Glidewell,0,0,0,0,0
Sebastian,9-6B,Special General Election for State Senate District 8,,REP,Frank Glidewell,6,0,2,0,4
Sebastian,9-L,Special General Election for State Senate District 8,,REP,Frank Glidewell,14,0,14,0,0
Sebastian,1-A,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,109,0,77,0,32
Sebastian,1-B,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,23,1,14,1,7
Sebastian,1-C,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,56,0,41,0,15
Sebastian,1-D,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,60,0,47,0,13
Sebastian,1-E,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,5,0,4,0,1
Sebastian,1-F,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,39,0,26,0,13
Sebastian,1-H,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,75,0,56,0,19
Sebastian,1-I,Special General Election for State Senate District 8,,LIB,William Whitfield Hyman,89,0,56,0,33
